Genus,Species,Number of Instances,Area Size (sq. .),Neighborhood,Median Income,Latitude,Longitude,Ecoregion,Native vs Non Native,Initials,
Quercus,Virginiana,2,250,Mueller,30.29764,-97.7057,84531,1,0,MS,
Bauhinia ,Purpurea,15,250,Mueller,30.29764,-97.7057,84531,0,0,MS,
Lagerstroemia,Indica,1,250,Mueller,30.29764,-97.7057,84531,0,0,MS,
Quercus ,Bicolor,1,250,Mueller,30.29764,-97.7057,84531,0,0,MS,
Quercus,Velutina,1,250,Mueller,30.29764,-97.7057,84531,1,0,MS,
Carya,Illinoinensis,6,250,Mueller,30.29764,-97.7057,84531,1,0,MS,
Salix,Babylonica,1,250,Mueller,30.29764,-97.7057,84531,0,0,MS,
Taxodium,Distichum,8,250,Mueller,30.29764,-97.7057,84531,1,0,MS,
Ulmus,Parvifolia,2,250,Mueller,30.29764,-97.7057,84531,0,0,MS,
Carya ,Illinoinensis,3,200,Barton Creek,30.26321,-97.76861,101477,1,0,MS,
Castanea,Mollissima,1,200,Barton Creek,30.26321,-97.76861,101477,0,0,MS,
Dermatophyllum,Secundiflorum,4,200,Barton Creek,30.26321,-97.76861,101477,1,0,MS,
Fraxinus,Veluntina,1,200,Barton Creek,30.26321,-97.76861,101477,0,0,MS,
Quercus,Acutissima,1,200,Barton Creek,30.26321,-97.76861,101477,0,0,MS,
Styphnolobium,Japonicum,2,200,Barton Creek,30.26321,-97.76861,101477,0,0,MS,
Ulmus,Crassifolia,1,200,Barton Creek,30.26321,-97.76861,101477,1,0,MS,
Ulmus,Pumila,1,200,Barton Creek,30.26321,-97.76861,101477,0,0,MS,
Amerlanchier,Ovalis,1,250,Zilker,30.26944,-97.75892,131827,0,0,MS,
Cardiospermum,Halicacabum,4,250,Zilker,30.26944,-97.75892,131827,0,0,MS,
Gledtisia,Triacanthos,6,250,Zilker,30.26944,-97.75892,131827,1,0,MS,
Morus ,Rubra,2,250,Zilker,30.26944,-97.75892,131827,1,0,MS,
Populus,Deltoides,3,250,Zilker,30.26944,-97.75892,131827,1,0,MS,
Rosa ,Abietina,8,250,Zilker,30.26944,-97.75892,131827,0,0,MS,
Albelia,Chinensis,1,300,South Lamar,30.2284925,-97.8000786,141071,0,0,MS,
Erigeron,Canadensis,6,300,South Lamar,30.2284925,-97.8000786,141071,1,0,MS,
Euonymus,Alatus,1,300,South Lamar,30.2284925,-97.8000786,141071,0,0,MS,
Ilex,Opaca,1,300,South Lamar,30.2284925,-97.8000786,141071,1,0,MS,
Lagerstroemia,Indica,1,300,South Lamar,30.2284925,-97.8000786,141071,0,0,MS,
Muhlenbergia,Dumosa,5,300,South Lamar,30.2284925,-97.8000786,141071,0,0,MS,
Quercus,Fusiformis,5,300,South Lamar,30.2284925,-97.8000786,141071,1,0,MS,
Quercus,Virginiana,2,300,South Lamar,30.2284925,-97.8000786,141071,1,0,MS,
Ipomoea,Cordatotriloba,1,250,South Congress,30.2532751,-97.7381978,91719,1,0,MS,
