Genus,Species,Number of Instances,Area Size (sq. ft.),Neighborhood,Latitude,Longitude,Median Income,Native vs Non Native,Ecoregion,Initials
Quercus,Virginiana,2,250,Mueller,30.29764,-97.7057,84531,1,0,M.S
Bauhinia ,Purpurea,15,250,Mueller,30.29764,-97.7057,84531,0,0,M.S
Lagerstroemia,Indica,1,250,Mueller,30.29764,-97.7057,84531,0,0,M.S
Quercus ,Bicolor,1,250,Mueller,30.29764,-97.7057,84531,0,0,M.S
Quercus,Velutina,1,250,Mueller,30.29764,-97.7057,84531,1,0,M.S
Carya,Illinoinensis,6,250,Mueller,30.29764,-97.7057,84531,1,0,M.S
Salix,Babylonica,1,250,Mueller,30.29764,-97.7057,84531,0,0,M.S
Taxodium,Distichum,8,250,Mueller,30.29764,-97.7057,84531,1,0,M.S
Ulmus,Parvifolia,2,250,Mueller,30.29764,-97.7057,84531,0,0,M.S
Carya ,Illinoinensis,3,200,Barton Creek,30.26321,-97.76861,101477,1,0,M.S
Castanea,Mollissima,1,200,Barton Creek,30.26321,-97.76861,101477,0,0,M.S
Dermatophyllum,Secundiflorum,4,200,Barton Creek,30.26321,-97.76861,101477,1,0,M.S
Fraxinus,Veluntina,1,200,Barton Creek,30.26321,-97.76861,101477,0,0,M.S
Quercus,Acutissima,1,200,Barton Creek,30.26321,-97.76861,101477,0,0,M.S
Styphnolobium,Japonicum,2,200,Barton Creek,30.26321,-97.76861,101477,0,0,M.S
Ulmus,Crassifolia,1,200,Barton Creek,30.26321,-97.76861,101477,1,0,M.S
Ulmus,Pumila,1,200,Barton Creek,30.26321,-97.76861,101477,0,0,M.S
Amerlanchier,Ovalis,1,250,Zilker,30.26944,-97.75892,131827,0,0,M.S
Cardiospermum,Halicacabum,4,250,Zilker,30.26944,-97.75892,131827,0,0,M.S
Gledtisia,Triacanthos,6,250,Zilker,30.26944,-97.75892,131827,1,0,M.S
Morus ,Rubra,2,250,Zilker,30.26944,-97.75892,131827,1,0,M.S
Populus,Deltoides,3,250,Zilker,30.26944,-97.75892,131827,1,0,M.S
Rosa ,Abietina,8,250,Zilker,30.26944,-97.75892,131827,0,0,M.S
Albelia,Chinensis,1,300,South Lamar,30.2284925,-97.8000786,141071,0,0,M.S
Erigeron,Canadensis,6,300,South Lamar,30.2284925,-97.8000786,141071,1,0,M.S
Euonymus,Alatus,1,300,South Lamar,30.2284925,-97.8000786,141071,0,0,M.S
Ilex,Opaca,1,300,South Lamar,30.2284925,-97.8000786,141071,1,0,M.S
Lagerstroemia,Indica,1,300,South Lamar,30.2284925,-97.8000786,141071,0,0,M.S
Muhlenbergia,Dumosa,5,300,South Lamar,30.2284925,-97.8000786,141071,0,0,M.S
Quercus,Fusiformis,5,300,South Lamar,30.2284925,-97.8000786,141071,1,0,M.S
Quercus,Virginiana,2,300,South Lamar,30.2284925,-97.8000786,141071,1,0,M.S
Ipomoea,Cordatotriloba,1,250,South Congress,30.2532751,-97.7381978,91719,1,0,M.S
