Genus,Species, Number of Instances ,SWDI,Area Size (sq. .),Neighborhood,Latitude,Longitude,Median Income,Ecoregion,Native vs Non Native
Quercus,Virginiana, 2.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,1,0
Bauhinia ,Purpurea, 15.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,0,0
Lagerstroemia,Indica, 1.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,0,0
Quercus ,Bicolor, 1.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,0,0
Quercus,Velutina, 1.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,1,0
Carya,Illinoinensis, 6.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,1,0
Salix,Babylonica, 1.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,0,0
Taxodium,Distichum, 8.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,1,0
Ulmus,Parvifolia, 2.00 ,1.697960321,250,Mueller,30.29764,-97.7057,84531.00,0,0
Carya ,Illinoinensis, 3.00 ,1.908535282,200,Barton Creek,30.26321,-97.76861,101477.00,1,0
Castanea,Mollissima, 1.00 ,1.908535282,200,Barton Creek,30.26321,-97.76861,101477.00,0,0
Dermatophyllum,Secundiflorum, 4.00 ,1.908535282,200,Barton Creek,30.26321,-97.76861,101477.00,1,0
Fraxinus,Veluntina, 1.00 ,1.908535282,200,Barton Creek,30.26321,-97.76861,101477.00,0,0
Quercus,Acutissima, 1.00 ,1.908535282,200,Barton Creek,30.26321,-97.76861,101477.00,0,0
Styphnolobium,Japonicum, 2.00 ,1.908535282,200,Barton Creek,30.26321,-97.76861,101477.00,0,0
Ulmus,Crassifolia, 1.00 ,1.908535282,200,Barton Creek,30.26321,-97.76861,101477.00,1,0
Ulmus,Pumila, 1.00 ,1.908535282,200,Barton Creek,30.26321,-97.76861,101477.00,0,0
Amerlanchier,Ovalis, 1.00 ,1.610828921,250,Zilker,30.26944,-97.75892,131827.00,0,0
Cardiospermum,Halicacabum, 4.00 ,1.610828921,250,Zilker,30.26944,-97.75892,131827.00,0,0
Gledtisia,Triacanthos, 6.00 ,1.610828921,250,Zilker,30.26944,-97.75892,131827.00,1,0
Morus ,Rubra, 2.00 ,1.610828921,250,Zilker,30.26944,-97.75892,131827.00,1,0
Populus,Deltoides, 3.00 ,1.610828921,250,Zilker,30.26944,-97.75892,131827.00,1,0
Rosa ,Abietina, 8.00 ,1.610828921,250,Zilker,30.26944,-97.75892,131827.00,0,0
Albelia,Chinensis, 1.00 ,1.807804712,300,South Lamar,30.2284925,-97.8000786,141071.00,0,0
Erigeron,Canadensis, 6.00 ,1.807804712,300,South Lamar,30.2284925,-97.8000786,141071.00,1,0
Euonymus,Alatus, 1.00 ,1.807804712,300,South Lamar,30.2284925,-97.8000786,141071.00,0,0
Ilex,Opaca, 1.00 ,1.807804712,300,South Lamar,30.2284925,-97.8000786,141071.00,1,0
Lagerstroemia,Indica, 1.00 ,1.807804712,300,South Lamar,30.2284925,-97.8000786,141071.00,0,0
Muhlenbergia,Dumosa, 5.00 ,1.807804712,300,South Lamar,30.2284925,-97.8000786,141071.00,0,0
Quercus,Fusiformis, 5.00 ,1.807804712,300,South Lamar,30.2284925,-97.8000786,141071.00,1,0
Quercus,Virginiana, 2.00 ,1.807804712,300,South Lamar,30.2284925,-97.8000786,141071.00,1,0
Ipomoea,Cordatotriloba, 1.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,1,0
Juglans,Nigra, 2.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,1,0
Latana,Camara, 1.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,1,0
Leucaena,Leucocephala, 1.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,0,0
Malvaviscus,Arboreus, 2.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,1,0
Markhamia,Zanzibarica, 1.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,1,0
Musa,Velutina, 3.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,0,0
Prunus,Perisca, 1.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,0,0
Punica,Granatum, 1.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,0,0
Quercus,Virginiana, 1.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,1,0
Solidago,Altissima, 9.00 ,2.011866095,250,South Congress,30.2532751,-97.7381978,91719.00,1,0
