Genus,Species, Number of Instances ,SWDI, Area Size (sq. .) ,Neighborhood,Latitude,Longitude,Median Income,Ecoregion,Native vs Non Native
Quercus,Virginiana, 2.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,1,0
Bauhinia ,Purpurea, 15.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,0,0
Lagerstroemia,Indica, 1.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,0,0
Quercus ,Bicolor, 1.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,0,0
Quercus,Velutina, 1.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,1,0
Carya,Illinoinensis, 6.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,1,0
Salix,Babylonica, 1.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,0,0
Taxodium,Distichum, 8.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,1,0
Ulmus,Parvifolia, 2.00 ,1.697960321, 250.00 ,Mueller,30.29764,84531.00,-97.7057,0,0
Carya ,Illinoinensis, 3.00 ,1.908535282, 200.00 ,Barton Creek,30.26321,101477.00,-97.76861,1,0
Castanea,Mollissima, 1.00 ,1.908535282, 200.00 ,Barton Creek,30.26321,101477.00,-97.76861,0,0
Dermatophyllum,Secundiflorum, 4.00 ,1.908535282, 200.00 ,Barton Creek,30.26321,101477.00,-97.76861,1,0
Fraxinus,Veluntina, 1.00 ,1.908535282, 200.00 ,Barton Creek,30.26321,101477.00,-97.76861,0,0
Quercus,Acutissima, 1.00 ,1.908535282, 200.00 ,Barton Creek,30.26321,101477.00,-97.76861,0,0
Styphnolobium,Japonicum, 2.00 ,1.908535282, 200.00 ,Barton Creek,30.26321,101477.00,-97.76861,0,0
Ulmus,Crassifolia, 1.00 ,1.908535282, 200.00 ,Barton Creek,30.26321,101477.00,-97.76861,1,0
Ulmus,Pumila, 1.00 ,1.908535282, 200.00 ,Barton Creek,30.26321,101477.00,-97.76861,0,0
Amerlanchier,Ovalis, 1.00 ,1.610828921, 250.00 ,Zilker,30.26944,131827.00,-97.75892,0,0
Cardiospermum,Halicacabum, 4.00 ,1.610828921, 250.00 ,Zilker,30.26944,131827.00,-97.75892,0,0
Gledtisia,Triacanthos, 6.00 ,1.610828921, 250.00 ,Zilker,30.26944,131827.00,-97.75892,1,0
Morus ,Rubra, 2.00 ,1.610828921, 250.00 ,Zilker,30.26944,131827.00,-97.75892,1,0
Populus,Deltoides, 3.00 ,1.610828921, 250.00 ,Zilker,30.26944,131827.00,-97.75892,1,0
Rosa ,Abietina, 8.00 ,1.610828921, 250.00 ,Zilker,30.26944,131827.00,-97.75892,0,0
Albelia,Chinensis, 1.00 ,1.807804712, 300.00 ,South Lamar,30.2284925,141071.00,-97.8000786,0,0
Erigeron,Canadensis, 6.00 ,1.807804712, 300.00 ,South Lamar,30.2284925,141071.00,-97.8000786,1,0
Euonymus,Alatus, 1.00 ,1.807804712, 300.00 ,South Lamar,30.2284925,141071.00,-97.8000786,0,0
Ilex,Opaca, 1.00 ,1.807804712, 300.00 ,South Lamar,30.2284925,141071.00,-97.8000786,1,0
Lagerstroemia,Indica, 1.00 ,1.807804712, 300.00 ,South Lamar,30.2284925,141071.00,-97.8000786,0,0
Muhlenbergia,Dumosa, 5.00 ,1.807804712, 300.00 ,South Lamar,30.2284925,141071.00,-97.8000786,0,0
Quercus,Fusiformis, 5.00 ,1.807804712, 300.00 ,South Lamar,30.2284925,141071.00,-97.8000786,1,0
Quercus,Virginiana, 2.00 ,1.807804712, 300.00 ,South Lamar,30.2284925,141071.00,-97.8000786,1,0
Ipomoea,Cordatotriloba, 1.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,1,0
Juglans,Nigra, 2.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,1,0
Latana,Camara, 1.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,1,0
Leucaena,Leucocephala, 1.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,0,0
Malvaviscus,Arboreus, 2.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,1,0
Markhamia,Zanzibarica, 1.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,1,0
Musa,Velutina, 3.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,0,0
Prunus,Perisca, 1.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,0,0
Punica,Granatum, 1.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,0,0
Quercus,Virginiana, 1.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,1,0
Solidago,Altissima, 9.00 ,2.011866095, 250.00 ,South Congress,30.2532751,91719.00,-97.7381978,1,0
Agave,Parryi, 6.00 ,1.445666718, 300.00 ,West Downtown,30.2855739,54779.00,-97.735173,1,0
Chasmanthium,Latifolum, 70.00 ,1.445666718, 300.00 ,West Downtown,30.2855739,54779.00,-97.735173,1,0
Hamelia,Patens, 6.00 ,1.445666718, 300.00 ,West Downtown,30.2855739,54779.00,-97.735173,0,0
Hesperaloe,Parviflora, 9.00 ,1.445666718, 300.00 ,West Downtown,30.2855739,54779.00,-97.735173,1,0
Latana ,Camara, 7.00 ,1.445666718, 300.00 ,West Downtown,30.2855739,54779.00,-97.735173,1,0
Latana,Viburnoides, 3.00 ,1.445666718, 300.00 ,West Downtown,30.2855739,54779.00,-97.735173,1,0
Quercus,Virginiana, 3.00 ,1.445666718, 300.00 ,West Downtown,30.2855739,54779.00,-97.735173,1,0
Sporobolus,Heterolepis, 45.00 ,1.445666718, 300.00 ,West Downtown,30.2855739,54779.00,-97.735173,1,0
Bambusa,Multiplex, 13.00 ,1.697190565, 200.00 ,Barton Creek,30.25738,101477.00,-97.75073,0,0
Carya ,Illinoinensis, 2.00 ,1.697190565, 200.00 ,Barton Creek,30.25738,101477.00,-97.75073,1,0
Hesperaloe,Parviflora, 8.00 ,1.697190565, 200.00 ,Barton Creek,30.25738,101477.00,-97.75073,1,0
Ilex,Cornuta, 14.00 ,1.697190565, 200.00 ,Barton Creek,30.25738,101477.00,-97.75073,0,0
Lahgerstroemia,Indica, 9.00 ,1.697190565, 200.00 ,Barton Creek,30.25738,101477.00,-97.75073,0,0
Nandina,Domestica, 20.00 ,1.697190565, 200.00 ,Barton Creek,30.25738,101477.00,-97.75073,0,0
Tradescantia,Pallida, 1.00 ,1.697190565, 200.00 ,Barton Creek,30.25738,101477.00,-97.75073,0,0
Carya,Illinoinensis, 1.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,1,0
Helichrysum,Petiolare, 2.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,0,0
Lagerstroemia,Speciosa, 5.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,0,0
Latana,Montevidensis, 9.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,0,0
Lirope,Muscari, 4.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,0,0
Melampodium,Leucanthum, 2.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,1,0
Morus ,Indica, 1.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,0,0
Morus ,Rubra, 1.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,1,0
Quercus,Virginiana, 1.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,1,0
Taxodium,Distichum, 5.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,1,0
Wisteria,Floribunda, 1.00 ,2.08488695, 300.00 ,Barton Creek,30.261898,157135.00,-97.7543243,0,0
Cotoneaster,Integerrimus, 5.00 ,1.358316745, 250.00 ,Onion Creek,30.1294948,135714.00,-97.646886,0,0
Sorghum,Halpense, 75.00 ,1.358316745, 250.00 ,Onion Creek,30.1294948,135714.00,-97.646886,0,0
Eurphorbia,Prostrata, 9.00 ,1.358316745, 250.00 ,Onion Creek,30.1294948,135714.00,-97.646886,0,0
Opuntia,Ficus-Indica, 1.00 ,1.358316745, 250.00 ,Onion Creek,30.1294948,135714.00,-97.646886,0,0
Quercus,Virginiana, 1.00 ,1.358316745, 250.00 ,Onion Creek,30.1294948,135714.00,-97.646886,1,0
